zone,carbon_intensity_avg,datetime,updatedAt,createdAt,emissionFactorType,isEstimated,estimationMethod
DE,562,2024-02-08T12:00:00.000Z,2024-02-08T14:48:39.590Z,2024-02-05T12:46:49.051Z,lifecycle,False,
DE,568,2024-02-08T13:00:00.000Z,2024-02-08T14:48:29.460Z,2024-02-05T13:49:37.839Z,lifecycle,False,
DE,602,2024-02-08T14:00:00.000Z,2024-02-08T14:48:29.460Z,2024-02-05T14:49:48.714Z,lifecycle,True,TIME_SLICER_AVERAGE
DE,665,2024-02-08T15:00:00.000Z,2024-02-08T14:48:29.460Z,2024-02-05T15:47:12.758Z,lifecycle,True,TIME_SLICER_AVERAGE
DE,565,2024-02-07T17:00:00.000Z,2024-02-08T15:46:08.751Z,2024-02-04T17:45:02.986Z,lifecycle,False,
DE,560,2024-02-07T18:00:00.000Z,2024-02-08T15:46:08.751Z,2024-02-04T18:50:52.038Z,lifecycle,False,
DE,559,2024-02-07T19:00:00.000Z,2024-02-08T15:46:04.162Z,2024-02-04T19:51:17.374Z,lifecycle,False,
DE,549,2024-02-07T20:00:00.000Z,2024-02-08T15:46:08.751Z,2024-02-04T20:49:12.914Z,lifecycle,False,
DE,535,2024-02-07T21:00:00.000Z,2024-02-08T12:47:44.657Z,2024-02-04T21:48:46.912Z,lifecycle,False,
DE,532,2024-02-07T22:00:00.000Z,2024-02-08T11:49:10.895Z,2024-02-04T22:50:36.134Z,lifecycle,False,
DE,536,2024-02-07T23:00:00.000Z,2024-02-08T11:49:10.895Z,2024-02-04T23:48:57.569Z,lifecycle,False,
DE,542,2024-02-08T00:00:00.000Z,2024-02-08T11:49:10.895Z,2024-02-05T00:48:58.681Z,lifecycle,False,
DE,534,2024-02-08T01:00:00.000Z,2024-02-08T11:49:10.895Z,2024-02-05T01:51:44.331Z,lifecycle,False,
DE,534,2024-02-08T02:00:00.000Z,2024-02-08T11:49:10.895Z,2024-02-05T02:48:45.105Z,lifecycle,False,
DE,541,2024-02-08T03:00:00.000Z,2024-02-08T11:49:10.895Z,2024-02-05T03:51:02.320Z,lifecycle,False,
DE,575,2024-02-08T04:00:00.000Z,2024-02-08T11:48:59.333Z,2024-02-05T04:47:19.567Z,lifecycle,False,
DE,604,2024-02-08T05:00:00.000Z,2024-02-08T12:47:44.657Z,2024-02-05T05:46:21.566Z,lifecycle,False,
